Abadžijska  Sremčica
Abardareva
Avalska
Avde Karabegovića
Ada Huja
Admirala Vukovića
Admirala Geprata
Azanjska
Ajzenštajnova
Akademska
Alaska
Albanska
Albanske spomenice
Aleksandra Glišića
Aleksandra Deroka
Aleksandra Stambolijskog
Aleksandra Fleminga
Alekse Bačvanskog
Alekse Dejovića
Alekse Dundića
Alekse Nenadovića
Aleksinačka
Aleksinačkih rudara
Alibunarska
Aljehinova
Anastasa Jovanovića
Andre Nikolića
Andrićev venac
Ane Ahmatove
Ane Dobeš
Anke Matić
Anke Frank
Ante Bogićevića
Antona Aškerca
Aradska
Aranđelovačka
Ariljska
Arhiepiskopa Danila
Arčibalda Rajsa
Astronomska
Atinska
Augusta Cesarca
Augusta Šenoe
Auto put Beograd Niš
Auto put Beograd Novi Sad
Ace Joksimovića
Adžine livade
Baba Višnjina
Bagremova
Bajdina
Baje Sekulića
Baje Sekulića
Bajronova
Bakarska
Bakićeva
Balkanska
Baltička
Balšina
Bana Ivaniša
Bana Mladena
Banatska
Banijska
Banovićka
Banjalučka
Banjička
Banjički venac
Banjički put
Banjičkih žrtava
Banjska
Barajevska
Baranjska
Barutana
Bata Lakina
Batajnički drum
Bate Vukanović
Batutova
Bacetina
Bačvanska
Bačka
Bački ilovik
Bašadiska
Baštovanska
Bebelova
Begejska
Bežanijska
Bežanijskih ilegalaca
Bele vode
Belimarkovićeva
Belička
Belog bagrema
Belokrajjnska
Belopalanačka
Beogradska
Beogradska
Beogradskog bataljona
Beodranska
Beranska
Bilećka
Bilce
Biničkog
Birčaninova
Bistrička
Bitke na Neretvi
Bitoljska
Bjelanovićeva
Bjelasička
Bjelovarska
Blagajska
Blagoja Mrajanovića
Blagoja Parovića
Blagojevićev prolaz
Blaža Popivode
Bledska
Bogdana Bolte
Bogdana Velaševića
Bogdana Žerajića
Bogdana Popovića
Bogoboja Atanackovića
Bogojavljenska
Bogoljuba čukića
Bože Jankovića
Božidara Adžije
Božidara Adžije
Božidara Stojanovića
Božićna
Božice Divnić
Bojadžijska
Bokeljska
Boračka
Bore Vukmirovića
Bore Markovića
Bore Prodanovića
Bore Stankovića
Borivoja Stevanovića
Borova
Borčanska
Bosanska
Bosanska . prilaz
Bosanska
Bose Milićević
Bose Cvetić
Bosutska
Bosutska
Botićeva
Bohinjska
Bohorska
Boce i Jakše
Bošak Buhe
Boška Vrebalova
Boška Palkovljevića
Boška Petrovića
Brane ćosića
Braničevska
Branka Bulata
Branka Gavela
Branka Đonovića
Branka Krsmanovića
Branka Miljkovića
Branka Momirova
Branka Plećaša
Branka Cvetkovića
Branka Šotre
Brankova
Braće Abafi
Braće Amar
Braće Baruh
Braće Grim
Braće Jerković
Braće Jugovića
Braće Kovač
Braće Krsmanović
Braće Lamijer
Braće Marinković
Braće Miladinov
Braće Nedić
Braće Radovanovića
Braće Ribnikar
Braće Srnić
Braće Todorović
Braće Fogl
Braće Škerovića
Bracana Bracanovića
Bračka
Brdovita
Brdska
Bregalnička
Bregovita
Breza
Brehtova
Brzakova
Brodarska
