Alice
Amanda
Amy
Andrea
Angela
Ann
Anna
Anne
Annie
Ashley
Barbara
Betty
Beverly
Bonnie
Brenda
Carol
Carolyn
Catherine
Cheryl
Christina
Christine
Cynthia
Deborah
Debra
Denise
Diana
Diane
Donna
Doris
Dorothy
Elizabeth
Emily
Evelyn
Frances
Gloria
Heather
Helen
Irene
Jacqueline
Jane
Janet
Janice
Jean
Jennifer
Jessica
Joan
Joyce
Judith
Judy
Julia
Julie
Karen
Katherine
Kathleen
Kathryn
Kathy
Kelly
Kimberly
Laura
Lillian
Linda
Lisa
Lois
Lori
Louise
Margaret
Maria
Marie
Marilyn
Martha
Mary
Melissa
Michelle
Mildred
Nancy
Nicole
Norma
Pamela
Patricia
Paula
Phyllis
Rachel
Rebecca
Robin
Rose
Ruby
Ruth
Sandra
Sara
Sarah
Sharon
Shirley
Stephanie
Susan
Tammy
Teresa
Theresa
Tina
Virginia
Wanda
