Adrian
Albert
Alberto
Alex
Alexandr
Alexandru
Alin
Anatolie
Andi
Andreas
Andrei
Andrew
Andrey
Andu
Andy
Anghel
Anita
Anton
Antonio
Atanase
Attila
Augustin
Aurel
Austin
Avram
Benedikte
Benedikto
Beniamin
Bogdan
Bogdi
Boian
Bordieanu
Carol
Caturix
Cezar
Christian
Ciprian
Claudiu
Codrin
Constantin
Cornel
Corneliu
Cosmin
Cosmin-alin
Costache
Costel
Costica
Costin
Cristi
Cristian
Cristiano
Cristofor
Cătălin
Daniel
Danut
Darius
David
Decebal
Dela
Denis
Dennis
Dinu
Dionisie
Dominic
Dorian
Dorin
Doru
Dracul
Dragos
Dragoş
Dumitru
Dănuţ
Eduard
Edward
Edy
Emanuel
Emilian
Enes
Eugen
Eygeni
Fabian
Fane
Ferka
Fiora
Flaviu
Florentin
Florin
Gabriel
Gabriela
Gabriele
Garridan
Gebo
Geofri
George
Ghenadie
Gheorghe
Godoired
Grigore
Han
Haralamb
Horatiu
Horea
Horia
Iancu
Ilei
Ilie
Iliescu
Ioan
Ion
Ionatan
Ionel
Ionut
Iorghu
Iosua
Iulian
Iuliu
Iustinian
Ivantie
Kronid
Ladinas
Laurentiu
Liviu
Lola
Luca
Lucian
Luke
Lvbr
Madalin
Marco
Marcu
Marian
Mario
Marius
Marku
Matyas
Medcluj
Michel
Mihai
Mihaita
Mihal
Mihas
Mihnea
Mircea
Mitica
Nandru
Nathan
Nathanael
Neculai
Nelu
Nicholas
Nicolæ
Nicu
Nicusor
Octavian
Omar
Omor
Osama
Ovidiu
Paul
Peter
Petre
Petrica
Petru
Pety
Polivega
Pompiliu
Popa
Popovici
Radu
Radut
Radutu
Rafael
Rasvan
Razvan
Robert
Roland
Sandu
Sebastian
Sebi
Serban
Serghei
Sergiu
Silviu
Simion
Simu
Skender
Sorin
Spiridon
Stef
Stefan
Stelian
Szilamér
Szilard
Tiberiu
Timotei
Toma
Travis
Tudor
Uta
Valeriu
Vali
Varujan
Vasilache
Vasile
Vasilica
Veaceslav
Victor
Vilhelm
Viorel
Virgiliu
Vlad
Wadim
Wodeleah
Zaharia
Zoltan
Ştefan
