14 Noiembrie
1848
24 Ianuarie
9 Mai
Acvila
Agricultori
Alba Iulia
Albatros
Alexandru Ciucurencu
Alexandru cel Bun
Alunișului
Amurgului
Ana Ipătescu
Antenei
Anton Pann
Argilei
Armeană
Aureliană
Avram Iancu
Babadag
Baltag
Banatului
Barajului
Berzei
Biruinței
Bogdan Vodă
Boierescu
Brizei
Brumărel
Brândușei
Bucovinei
Bujorului
Cameliei
Carierei
Carpați
Cascadei
Cavalului
Cezar
Chindiei
Chiparosului
Cicerone
Cicoarei
Cimbrului
Ciocârliei
Cireșari
Ciurel
Cloșca
Colinei
Coloniștilor
Combustibilului
Comerțului
Concordiei
Constantin Brâncoveanu
Constantin Brătescu
Constructorilor
Corneliu Gavrilov
Cotită
Crinului
Cristina
Crivăț
Crișan
Crăițelor
Cuza Vodă
Câmpului
Călugareni
Căruțașilor
Darius
Davila
Decebal
Delfinului
Deltei
Dianei
Dimitrie Sturza
Dobrogeanu Gherea
Dobrogei
Dochiei
Domnița Bălașa
Dorobanți
Dorului
Ecaterina Teodoroiu
Ecoului
Elena Doamna
Elizeului
Eroilor
Eternității
Ferigii
Fetițelor
Flamingo
Florilor
Forestierului
Frasinului
Fraților
Frumoasei
Frunzelor
Furtunei
Garofiței
George Enescu
George Georgescu
Gheorghe Doja
Ghiocelului
Gloriei
Granitului
Grigore Antipa
Griviței
Grâușor
Grădinari
Gării
Heracleea
Horia
Ilgani
Independenței
Ion Creangă
Ion Luca Caragiale
Ion Nenițescu
Isaccei
Istria
Iulia
Iuliu Maniu
Jupiter
Labirintului
Lacului
Lalelelor
Lanului
Libertății
Liliacului
Liniștei
Livezilor
Luminiței
Lupeni
Luterană
Lăstuni
Macului
Magnoliei
Mahmudiei
Malcoci
Maramureș
Marășești
Meduzei
Mentei
Merișor
Metalurgiștilor
Meteor
Mică
Micșunelelor
Mieilor
Mihai Eminescu
Mihai Viteazu
Mihai
Mihail Kogalniceanu
Milcov
Mircea Vodă
Miron Costin
Mistreț
Mistriei
Morilor
Moviliței
Muncii
Muzelor
Măceșului
Măgurei
Mălinului
Nalbelor
Narciselor
Negruzzi
Neptun
Nicolae Bălcescu
Nicopol
Nopții
Nufărului
Năframei
Oborului
Oițelor
Orizontului
Ovidiu
Panait Cerna
Pelinului
Pescarilor
Pictor Andreescu
Pinului
Plevnei
Plugarilor
Podgoriilor
Portiței
Portului
Potcovari
Primăverii
Prislav
Progresului
Prudenței
Păcii
Păunului
Radu Negru
Rahovei
Rezervorului
Ronda
Rosetti
Rozmarin
Rumeoarei
Rândunicii
Răsăritului
Războieni
Sabinelor
Smârdan
Soarelui
Socului
Sofia Nădejde
Spicului
Spitalului
Stejarului
Străbună
Stâncilor
Stânjenelului
Sudului
Sulfinei
Surorilor
Suvenir
Sălciilor
Taberei
Taras Savcenco
Teiului
Timișoarei
Timpului
Timpuri Noi
Tineretului
Toamnei
Toporași
Traian Vuia
Traian
Trandafirilor
Trifoiului
Troiței
Tudor Vladimirescu
Tunsului
Unirii
Urzicii
Uzinei
Venus
Veseliei
Victoriei
Viitorului
Viorelelor
Viticulturii
Vlad Țepes
Voinicului
Văcărescu
Vărăriei
Walter
Zimbrului
Zăgan
Școlii
Șoimului
