Adamache
Adamescu
Adameșteanu
Agarici
Albu
Aldulescu
Alecsandri
Alexandrescu
Alexandru
Alexe
Anastase
Anca(name)
Andronescu
Andronic
Anghel
Anghelescu
Anton
Antonescu
Apostu
Ardelean
Ardeleanu
Argetoianu
Arion
Asachi
Astafei
Atanasiu
Athanasiu
Atodiresei
Avram
Avramescu
Babeș
Bădescu
Baicu
Balan
Balauru
Bănică
Barbu(name)
Bărbulescu
Bârlădeanu
Bărnuțiu
Beldiceanu
Bengescu
Berceanu
Berindei
Blaga(name)
Boboc
Bodiu
Boerescu
Bogdan
Bogza
Bolohan
Bordeianu
Botez
Botezatu
Boureanu
Brăescu
Brâncoveanu
Brașoveanu
Bratu
Breban
Brediceanu
Bucătaru
Bucșă
Bucur
Budescu
Budișteanu
Bunea
Buș
Buzărnescu
Cadanțu
Călinescu
Călugăreanu
Călugăru
Cândea
Caragiale
Caranfil
Catargiu
Cazacu
Ceaușescu
Ceaușu
Cebanu
Celibidache
Cercel
Cernat
Cernea
Cheban
Checicheș
Chihaia
Chinezu
Chirilă
Chirilov
Chițu
Cihărean
Cioabă
Cioban
Ciobanu
Ciocan
Ciocanu
Ciorbă
Ciubotaru
Ciucă
Ciurea
Coandă
Cobălcescu
Cocea
Codreanu
Cojoc
Cojocar
Cojocaru
Coliban
Comănescu
Comșa
Constantin
Constantinescu
Copil
Corbeanu
Corbu
Cornea
Corneanu
Coșovei
Costea
Costescu
Costin
Costiniu
Cotruș
Covaci
Coval
Covali
Covaliov
Cozma
Crăciun
Creangă
Crețu
Crișan
Cristea
Cristescu
Croitoru
Culianu
Cuțov
Dabija
Damaschin
Damian
Danciu
Datcu
Davidoglu
Deac
Deleanu
Demetrescu
Densusianu
Diaconescu
Diaconu
Dimitrescu
Dimitriu
Dimofte
Dincă
Dinescu
Dinicu
Dinu
Dobre
Dobrescu
Dobrogeanu
Dogaru
Donceanu
Doroftei
Drăgan
Drăganu
Drăghicescu
Drăghici
Dragnea
Drăgoi
Dulgheru
Dumitrache
Dumitrescu
Dumitriu
Dumitru
Duță
Duțescu
Eliade
Enache
Ene(name)
Enescu
Epureanu
Eremia
Eșanu
Esinencu
Felea
Fieraru
Filotti
Florea
Florescu
Florian(name)
Focșeneanu
Gaina(name)
Gane
Ganea
Georgesco
Georgescu
Gheorghe
Gheorghiu
Gherea
Gherghel
Ghimpu
Ghiță
Giurescu
Giurgiu
Giurgiuca
Giușcă
Goga
Goian
Goldiș
Golea
Grasu
Grecu
Grigoraș
Grigorescu
Grosu
Groza
Grozavu
Hagi
Hănescu
Hanganu
Haralamb
Hasdeu
Hațieganu
Herea
Herlea
Hoban
Hodoș
Hossu
Huidu
Hutopilă
Iacob
Iacobescu
Ilie
Iliescu
Ioanid
Ionescu
Ioniță
Iordache
Iordan
Iorga
Iosif
Iovan
Isopescu
Istrate
Istrati
Itu
Iuga
Ivănescu
Izbașa
Kirițescu
Kogălniceanu
Lăcătuș
Lăcustă
Lahovary
Lascăr
Lăzărescu
Lecca
Lemnaru
Loghin
Luca
Lucaci
Lucescu
Lungu
Lupan
Lupaș
Lupașcu
Lupescu
Lupu
Lupul
Lupulescu
Macedonski
Maftei
Magheru
Maior
Manea(name)
Mănescu
Maniu
Manole
Manolescu
Manoliu
Mărăcineanu
Marcovici
Marcu
Marculescu
Mardare
Mărdărescu
Mărginean
Marin(name)
Marinescu
Martinescu
Matei
Micle
Miclea
Miculescu
Mihai
Mihăilescu
Mihalache
Mihalcea
Militaru
Minovici
Mirea
Mironescu
Mititelu
Mitrea
Mitu
Mocanu
