Achima
Ada
Adala
Adaleiz
Adalhaid
Adalheid
Adalheidis
Adalinda
Adalwolfa
Adele
Adelgunde
Adelheid
Adelheid
Adelheit
Adelind
Adelinda
Adelinde
Adelonda
Adeltrudis
Adolfine
Agata
Agatha
Aglaja
Agna
Agnes
Agneth
Agnethe
Aische
Aleit
Alexandra
Alice
Alina
Alina
Aline
Alke
Alma
Aloïsia
Alwina
Alwine
Amala
Amalia
Amalia
Amalie
Amalie
Amanda
Amelie
Amelinda
Andrea
Anelie
Angela
Angelika
Angelika
Angelina
Anika
Anina
Anita
Anja
Anke
Anke
Ann-Katrin
Anna
Annabell
Annaleisa
Annaliesa
Annaliese
Anne
Anne-marie
Annegret
Anneke
Anneken
Anneli
Annelie
Annelie
Annelien
Anneliese
Anneliese
Annemarie
Annemarie
Annette
Anni
Annika
Anniken
Annikin
Annina
Anny
Anselma
Antje
Antje
Antonia
Astrid
Athala
Augusta
Auguste
Avis
Ayleen
Baldhild
Balthild
Barbara
Bastienne
Bathild
Bathilda
Bathilde
Bathildis
Beate
Beate
Beatrice
Beatrix
Belakane
Belinda
Berlin
Bernadette
Berta
Bertha
Bertha
Bertilda
Betlinde
Bettina
Bianca
Bianka
Birgit
Brigitte
Brigitte
Britta
Bruna
Brunhild
Brunhild
Brunhilde
Brunnhilde
Brünhild
Brünhilde
Bärbel
Bärbel
Caren
Carina
Carla
Carla
Carlene
Carmen
Carola
Carolin
Caroline
Catarina
Catharina
Cathrin
Catrin
Cecilia
Cecilie
Celina
Celine
Charlotte
Chiara
Chlotichilda
Christa
Christel
Christiane
Christiane
Christianne
Christina
Christine
Clara
Claramond
Clarimond
Claudia
Clothilda
Clothilde
Clotilda
Conradine
Constanze
Cordula
Corina
Corinna
Cornelia
Cundrie
Cundry
Cäcilia
Cäcilia
Cäcilie
Cäcilie
Dagmar
Daniela
Denise
Desirée
Diana
Dietlinde
Dietricha
Dora
Doris
Dorothea
Désirée
Edda
Ediltrudis
Edith
Eike
Elena
Eleonora
Eleonore
Eleonore
Elfi
Elfriede
Elfriede
Elisa
Elisa
Elisabeth
Elisabeth
Elise
Elise
Elissa
Elke
Elke
Ella
Ellen
Elli
Elli
Elly
Elma
Elsa
Elsa
Elsabeth
Elsbeth
Else
Else
Elsie
Elvira
Emelie
Emeline
Emely
Emilia
Emilie
Emilie
Emily
Emlin
Emma
Emmaline
Emmeline
Emmeline
Emmi
Emmy
Erdmute
Erica
Erika
Erma
Ermelinda
Erna
Erna
Ernsta
Ester
Esther
Eugenie
Eva
Evelyn
Fabienne
Fanny
Felicia
Felicie
Felicitas
Felizia
Felizitas
Finja
Finnja
Fiona
Flora
Florentina
Florentine
Franziska
Franziska
Frauke
Frauke
Freida
Freya
Frida
Fridegunde
Frieda
Frieda
Friede
Friedegund
Friedegunde
Friederike
Friederike
Fritzi
Fujiko
Gabriela
Gabriele
Gabriele
Genoveva
Genoveva
Gerda
Gerde
Gerlind
Gerlinde
Gerlinde
Gertie
Gertraud
Gertraud
Gertrud
Gertrud
Gertrude
Gertrudis
Gertrúd
Gesine
Gina
Gisa
Gisela
Gisela
Gitta
Grete
Grete
Gretel
Gretel
Grethe
Griselda
Gudrun
Gudrun
Gunda
Gunda
Gundula
Gundula
Haduwig
Hadwigis
Hanna
Hannah
Hanne
Hanne
Hannelore
Hannelore
Hedda
Hedwig
Hedwig
Hedy
Heide
Heidemarie
Heidi
Heike
Heilwig
Heinrike
Helena
Helene
Helene
Helga
Helge
Hella
Hella
Helma
Helmina
Helmine
Helmine
Hermine
Hilda
Hiltraud
Hiltrud
Hiltrude
Ilma
Ilsa
Ilse
Ima
Imke
Imma
Irma
Irmalinda
Irmgard
Ishild
Isold
Ivonette
Ivonne
Jannike
Juliane
Jutta
Jutte
Karla
Karlene
Karlotte
Karoline
Kasimira
Katarina
Katarine
Kathrin
Katinka
Katrin
Katrina
Katrine
Kerstin
Kinge
Kirsa
Klara
Klothilda
Kreszentia
Kreszenz
Kriemhild
Kriemhilde
Krimhilde
Kristen
Kunibert
Kunigunde
Kätharina
Käthe
Lene
Leni
Leonore
Lies
Liesa
Liese
Liesel
Lieselotte
Liesl
Lili
Lilo
Liselotte
Lora
Lore
Lorelei
Loreley
Lotte
Luise
Luitgard
Lulu
Lutgard
Lutgardis
Madde
Magda
Magdalena
Magdalene
Malwine
Mareike
Margareta
Margarete
Mariele
Marlene
Marlis
Marthe
Maud
Meike
Melusina
Melusine
Meta
Mette
Mina
Mine
Minna
Minnie
Mirjam
Mitzi
Nadja
Oda
Odelia
Odila
Odilia
Ortrun
Otthild
Ottila
Ottilia
Ottoline
Porsche
Rebekka
Reinhilde
Renate
Ricarda
Rike
Romey
Romy
Ros
Rosalind
Rosamond
Rosamund
Rosemarie
Roswitha
Ruperta
Sabine
Salida
Sara
Sascha
Schwanhild
Selma
Senta
Sibylle
Sieghild
Sieglinde
Sigi
Sofia
Sofie
Sommer
Sonje
Susanne
Suse
Svenja
Swanhild
Swanhilda
Swanhilde
Tabea
Teresia
Theresia
Ursel
Uschi
Ute
Valda
Verena
Viktoria
Vreni
Walborg
Walburg
Walburga
Waldeburg
Waltraud
Wanda
Wibeke
Wiebke
Wigburg
Wilda
Wilfreda
Wilhelmina
Wilhelmine
Wilma
Zelda
Zenzi
