ACHIM
Abelard
Abelard
Abt
Achmad
Achmed
Adalbert
Adalbrecht
Adalhard
Adalius
Adalmar
Adalric
Adalrich
Adalstan
Adalwolf
Adalwulf
Addler
Adelbert
Adelbrecht
Adelhard
Adelio
Adelmar
Adelric
Adelulf
Adler
Adler
Adolf
Adolph
Agidius
Ahlf
Aksel
Alard
Alaric
Alarich
Alberich
Albert
Albirich
Albrecht
Albrecht
Albrekt
Aldman
Aldo
Aldric
Aldrich
Aldrick
Aldrik
Alf
Alfihar
Alfons
Alfons
Alfreck
Alfrid
Alldrich
Almeric
Almerich
Alois
Alonso
Aloïs
Alphonse
Alric
Alric
Alrich
Altman
Alvar
Alwin
Alwin
Amal
Amalger
Amaliric
Amalric
Amalrich
Amaury
Ambros
Amery
Amory
Anicho
Anne
Anse
Ansel
Anselm
Anselm
Ansgar
Anshelm
Anshelm
Ansobert
Anton
Anton
Apsel
Archie
Archimbald
Armen
Armin
Armin
Arnd
Arndt
Arno
Arnwald
Aronne
Arvin
Astor
Audo
August
Augusten
Aurel
Aurick
Aurik
Auster
Axel
Azzo
Bach
Baden
Bader
Baer
Baldawin
Baldemar
Baldewin
Baldric
Baldwin
Bamber
Bardawulf
Bardulf
Barrett
Barthel
Barthold
Bartholomaus
Bartol
Bartolomäus
Bauer
Benedikt
Benning
Benno
Beno
Berahthraben
Berend
Berend
Berenger
Berg
Berger
Berhtram
Beringar
Berlin
Bern
Bernard
Bernd
Berndt
Bernhard
Bernhard
Bernhardt
Bernhardt
Bernhart
Bernt
Bertel
Berthold
Berthold
Bertram
Bertram
Bertrand
Bing
Blasi
Blasius
Bobby
Boden
Bonifaz
Bonifaz
Brahms
Brandt
Brant
Braun
Brick
Brickel
Bruno
Bruno
Bruns
Burk
Burke
Burkhard
Busch
Carl
Carl
Carloman
Carsten
Carsten
Charles
Chlothar
Christoph
Claudius
Claus
Conrad
Conrad
Contracted form of Old High German Hrodwulf, meaning "famous wolf." This name came into Middle English use via the Normans.
Cort
Dachs
Danek
Danner
Darrick
Decker
Dederick
Dedric
Dedrich
Dedrick
Derek
Detlef
Dick
Didi
Diederick
Diederick
Diedrich
Dierk
Dieter
Dieter
Dietfried
Diethelm
Dietlinde
Dietmar
Dietrich
Dietrich
Dinand
Dirk
Dolph
Donar
Drexel
Dwight
Ebbe
Eber
Eberhard
Eberhard
Eberhart
Ebert
Ebner
Eburhard
Eckehard
Eckhard
Eckhardt
Edel
Edsel
Eduard
Edzard
Eggert
Egon
Egon
Eilert
Ekkehardt
Eldric
Eldrich
Elldrich
Emeric
Emerick
Emerson
Emery
Emil
Emmerich
Emmerich
Emmett
Emmo
Emory
Engel
Engelbert
Engelbert
Engelram
